<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,1,12/23/21,10:41:00,345.1400000,345.2000000,345.0300000,345.0500000,29120
GAZP,1,12/23/21,10:42:00,345.0800000,345.1500000,344.5000000,344.7000000,835430
GAZP,1,12/23/21,10:43:00,344.7000000,344.7400000,344.3200000,344.4400000,240950
GAZP,1,12/23/21,10:44:00,344.5700000,344.6400000,344.2000000,344.2100000,122730
GAZP,1,12/23/21,10:45:00,344.2500000,344.6400000,344.2000000,344.4900000,143920
GAZP,1,12/23/21,10:46:00,344.4500000,344.6500000,344.2600000,344.5900000,79100
GAZP,1,12/23/21,10:47:00,344.5900000,345.0000000,344.5700000,344.7800000,168280
GAZP,1,12/23/21,10:48:00,344.7800000,345.0000000,344.7000000,344.7700000,60800
GAZP,1,12/23/21,10:49:00,344.7000000,344.7300000,342.3400000,343.4000000,1020630
GAZP,1,12/23/21,10:50:00,343.4000000,343.4000000,343.0400000,343.2000000,309090
GAZP,1,12/23/21,10:51:00,343.2600000,343.2600000,341.7900000,341.9200000,1052050
GAZP,1,12/23/21,10:52:00,341.7900000,342.7900000,341.7900000,342.6800000,297400
GAZP,1,12/23/21,10:53:00,342.6800000,343.5000000,342.6200000,343.3000000,376980
GAZP,1,12/23/21,10:54:00,343.3000000,343.8000000,343.2400000,343.3800000,223310
GAZP,1,12/23/21,10:55:00,343.3800000,343.4400000,343.2000000,343.4300000,127830
GAZP,1,12/23/21,10:56:00,343.4300000,343.4300000,342.8100000,342.8400000,165760
GAZP,1,12/23/21,10:57:00,342.9400000,342.9600000,342.2600000,342.4000000,238120
GAZP,1,12/23/21,10:58:00,342.4600000,342.9400000,342.2600000,342.7900000,118720
GAZP,1,12/23/21,10:59:00,342.6600000,343.3300000,342.6600000,343.1000000,127710
GAZP,1,12/23/21,11:00:00,343.1000000,343.4300000,342.9000000,342.9800000,89130
GAZP,1,12/23/21,11:01:00,342.9000000,343.9900000,342.6800000,343.9800000,213170
GAZP,1,12/23/21,11:02:00,343.9800000,344.2700000,343.8200000,343.9600000,181690
GAZP,1,12/23/21,11:03:00,344.0900000,344.4300000,343.8200000,343.9700000,132870
GAZP,1,12/23/21,11:04:00,343.8600000,344.1200000,343.8200000,343.9700000,57320
GAZP,1,12/23/21,11:05:00,343.9100000,344.2900000,343.1400000,343.4700000,138760
GAZP,1,12/23/21,11:06:00,343.3200000,343.4200000,342.8100000,342.8600000,106610
GAZP,1,12/23/21,11:07:00,343.0000000,343.2600000,342.8700000,343.0900000,60860
GAZP,1,12/23/21,11:08:00,343.0800000,343.9500000,342.9800000,343.7700000,123080
GAZP,1,12/23/21,11:09:00,343.7800000,343.9700000,343.6600000,343.7800000,108140
GAZP,1,12/23/21,11:10:00,343.8100000,343.8500000,343.1700000,343.4400000,60730
GAZP,1,12/23/21,11:11:00,343.5800000,343.6000000,343.1800000,343.2300000,131610
GAZP,1,12/23/21,11:12:00,343.3800000,343.8700000,343.2700000,343.6900000,57130
GAZP,1,12/23/21,11:13:00,343.8300000,343.8800000,343.1100000,343.7300000,220780
GAZP,1,12/23/21,11:14:00,343.8000000,344.3300000,343.7000000,344.2300000,115330
GAZP,1,12/23/21,11:15:00,344.3000000,344.3300000,343.9100000,344.0000000,98020
GAZP,1,12/23/21,11:16:00,344.0000000,344.3200000,343.8200000,344.0200000,88200
GAZP,1,12/23/21,11:17:00,344.0000000,344.0000000,343.8200000,343.8700000,25190
GAZP,1,12/23/21,11:18:00,343.9900000,344.4200000,343.8900000,344.2200000,89540
GAZP,1,12/23/21,11:19:00,344.2200000,344.2200000,344.0400000,344.0500000,47460
GAZP,1,12/23/21,11:20:00,344.0400000,344.1700000,344.0400000,344.1100000,105220
GAZP,1,12/23/21,11:21:00,344.1100000,344.1700000,343.6200000,343.7400000,136370
GAZP,1,12/23/21,11:22:00,343.7400000,344.0000000,343.6800000,343.9200000,35510
GAZP,1,12/23/21,11:23:00,343.8800000,343.9200000,343.7300000,343.7700000,22790
GAZP,1,12/23/21,11:24:00,343.7400000,343.8600000,343.7000000,343.7900000,17550
GAZP,1,12/23/21,11:25:00,343.7900000,343.8000000,343.6000000,343.7400000,30360
GAZP,1,12/23/21,11:26:00,343.6500000,343.6900000,343.4600000,343.5900000,147910
GAZP,1,12/23/21,11:27:00,343.6800000,344.1700000,343.5900000,344.0100000,98310
GAZP,1,12/23/21,11:28:00,344.1100000,344.9400000,344.0100000,344.7600000,160090
GAZP,1,12/23/21,11:29:00,344.8600000,345.2900000,344.7700000,344.8000000,184050
GAZP,1,12/23/21,11:30:00,344.8100000,345.1200000,344.7500000,344.8400000,58730
GAZP,1,12/23/21,11:31:00,344.8100000,344.8200000,344.5800000,344.7100000,28620
GAZP,1,12/23/21,11:32:00,344.7100000,344.7100000,344.3200000,344.3700000,39760
GAZP,1,12/23/21,11:33:00,344.3700000,344.9900000,344.3100000,344.8300000,39570
GAZP,1,12/23/21,11:34:00,344.8800000,345.2300000,344.8300000,344.9900000,100180
GAZP,1,12/23/21,11:35:00,344.9900000,345.2100000,344.9000000,345.0000000,49600
GAZP,1,12/23/21,11:36:00,345.0600000,345.0900000,344.8100000,344.8200000,49230
GAZP,1,12/23/21,11:37:00,344.8200000,345.1300000,344.8000000,344.9200000,32810
GAZP,1,12/23/21,11:38:00,345.0000000,345.0000000,344.6300000,344.6300000,53830
GAZP,1,12/23/21,11:39:00,344.7100000,344.7100000,344.2500000,344.4700000,50980
GAZP,1,12/23/21,11:40:00,344.4700000,344.4700000,344.2000000,344.2400000,41260
GAZP,1,12/23/21,11:41:00,344.2400000,344.2400000,344.0100000,344.0400000,59050
GAZP,1,12/23/21,11:42:00,344.0400000,344.2700000,344.0100000,344.0500000,22530
GAZP,1,12/23/21,11:43:00,344.0600000,344.1800000,343.6400000,343.7600000,183350
GAZP,1,12/23/21,11:44:00,343.8000000,343.8900000,343.7000000,343.7300000,27420
GAZP,1,12/23/21,11:45:00,343.8700000,343.9600000,343.7100000,343.8100000,34780
GAZP,1,12/23/21,11:46:00,343.8900000,343.8900000,343.4000000,343.4100000,72400
GAZP,1,12/23/21,11:47:00,343.4100000,343.5500000,343.3700000,343.5000000,45230
GAZP,1,12/23/21,11:48:00,343.4400000,343.5500000,343.1300000,343.3100000,83170
GAZP,1,12/23/21,11:49:00,343.2000000,343.6900000,343.2000000,343.5700000,33920
GAZP,1,12/23/21,11:50:00,343.5700000,344.0500000,343.5700000,343.8200000,61370
GAZP,1,12/23/21,11:51:00,343.8200000,344.2800000,343.7100000,344.2100000,83580
GAZP,1,12/23/21,11:52:00,344.2200000,344.3800000,344.1500000,344.3500000,15030
GAZP,1,12/23/21,11:53:00,344.3500000,344.3500000,344.0400000,344.1900000,49450
GAZP,1,12/23/21,11:54:00,344.2700000,344.3300000,344.1600000,344.2900000,16980
GAZP,1,12/23/21,11:55:00,344.2900000,344.5000000,344.2800000,344.3200000,26090
GAZP,1,12/23/21,11:56:00,344.3500000,344.4700000,344.1900000,344.3200000,65330
GAZP,1,12/23/21,11:57:00,344.3200000,344.3900000,344.2100000,344.3000000,9070
GAZP,1,12/23/21,11:58:00,344.3000000,344.7700000,344.2000000,344.6900000,133920
GAZP,1,12/23/21,11:59:00,344.6900000,344.9800000,344.5500000,344.9500000,88920
